Compound.name	Group
afatinib	Effevtive
amonafide	Effevtive
amperozide	Ineffective
amsacrine	Effevtive
antimycin-a	Ineffective
apigenin	Ineffective
artesunate	Ineffective
asiatic-acid	Ineffective
AT-7519	Effevtive
auranofin	Effevtive
axitinib	Ineffective
AZD-7762	Effevtive
azithromycin	Ineffective
belinostat	Effevtive
benzylpenicillin	Ineffective
betulinic-acid	Ineffective
BI-2536	Effevtive
bosutinib	Effevtive
brazilin	Ineffective
brefeldin-a	Effevtive
bufalin	Effevtive
BX-912	Ineffective
calcitriol	Ineffective
camptothecin	Effevtive
carbamazepine	Ineffective
carprofen	Ineffective
carvedilol	Ineffective
celastrol	Effevtive
celecoxib	Ineffective
chlorambucil	Ineffective
chloroquine	Ineffective
cinobufagin	Effevtive
cladribine	Effevtive
clozapine	Ineffective
CP-466722	Effevtive
cucurbitacin-i	Ineffective
cycloheximide	Ineffective
dactinomycin	Effevtive
dasatinib	Effevtive
daunorubicin	Effevtive
decitabine	Ineffective
deoxycholic-acid	Ineffective
docetaxel	Effevtive
dovitinib	Effevtive
doxorubicin	Effevtive
entinostat	Ineffective
enzastaurin	Ineffective
epirubicin	Effevtive
erlotinib	Effevtive
everolimus	Ineffective
floxuridine	Effevtive
fluconazole	Ineffective
fluphenazine	Effevtive
fluvastatin	Effevtive
gedunin	Ineffective
gefitinib	Ineffective
geldanamycin	Effevtive
genistein	Ineffective
imatinib	Ineffective
irinotecan	Effevtive
ispinesib	Effevtive
lamivudine	Ineffective
lapatinib	Effevtive
linezolid	Ineffective
lovastatin	Effevtive
methysergide	Ineffective
mitoxantrone	Ineffective
mocetinostat	Effevtive
mycophenolic-acid	Ineffective
nimesulide	Ineffective
nocodazole	Effevtive
nonoxynol-9	Ineffective
noscapine	Effevtive
NVP-TAE684	Effevtive
omeprazole	Ineffective
paclitaxel	Effevtive
palbociclib	Effevtive
parachlorophenol	Ineffective
pazopanib	Ineffective
PD-173074	Effevtive
pentamidine	Ineffective
perphenazine	Ineffective
PF-562271	Effevtive
phenoxazine	Ineffective
PI-103	Effevtive
piperlongumine	Effevtive
pirarubicin	Effevtive
pravastatin	Effevtive
primaquine	Ineffective
puromycin	Ineffective
pyrimethamine	Ineffective
quercetin	Ineffective
raltitrexed	Effevtive
resveratrol	Ineffective
roscovitine	Effevtive
rottlerin	Ineffective
ruxolitinib	Ineffective
simvastatin	Effevtive
sorafenib	Effevtive
staurosporine	Effevtive
sulforaphane	Ineffective
tacrolimus	Ineffective
tamoxifen	Ineffective
telmisartan	Ineffective
temsirolimus	Effevtive
tipifarnib	Effevtive
tozasertib	Ineffective
ubenimex	Ineffective
vemurafenib	Effevtive
vinblastine	Effevtive
vincristine	Effevtive
vinorelbine	Ineffective
vorinostat	Effevtive
xanthohumol	Ineffective
YM-155	Effevtive
zaprinast	Ineffective
zolantidine	Ineffective
