Compound.name	Group
123138	Effevtive
123829	Effevtive
150412	Effevtive
5-Fluorouracil	Effevtive
5-azacytidine	Effevtive
50869	Effevtive
615590	Effevtive
630600	Effevtive
667880	Effevtive
720427	Effevtive
729189	Effevtive
741909	Effevtive
743380	Effevtive
765771	Effevtive
776928	Effevtive
A-366	Effevtive
ABT737	Effevtive
AGI-5198	Effevtive
AGI-6780	Effevtive
AGK2	Effevtive
AMG-319	Effevtive
AT13148	Effevtive
AZ6102	Effevtive
AZ960	Effevtive
AZD1208	Effevtive
AZD1332	Effevtive
AZD2014	Effevtive
AZD3759	Effevtive
AZD4547	Effevtive
AZD5153	Effevtive
AZD5363	Effevtive
AZD5438	Effevtive
AZD5582	Effevtive
AZD5991	Effevtive
AZD6482	Effevtive
AZD6738	Effevtive
AZD7762	Effevtive
AZD8055	Effevtive
AZD8186	Effevtive
Acetalax	Effevtive
Afatinib	Effevtive
Afuresertib	Effevtive
Alisertib	Effevtive
Alpelisib	Effevtive
Avagacestat	Effevtive
Axitinib	Effevtive
BDF00022089a	Effevtive
BDILV000379a	Effevtive
BDOCA000347a	Effevtive
BDP-00009066	Effevtive
BEN	Effevtive
BI-2536	Effevtive
BIBR-1532	Effevtive
BMS-345541	Effevtive
BMS-536924	Effevtive
BMS-754807	Effevtive
BPD-00008900	Effevtive
BX795	Effevtive
Bicalutamide	Ineffective
Bleomycin	Effevtive
Bleomycin (50 uM)	Effevtive
Bortezomib	Effevtive
Bosutinib	Effevtive
Bromosporine	Effevtive
Buparlisib	Effevtive
CCT-018159	Effevtive
CCT007093	Effevtive
CDK9_5038	Effevtive
CDK9_5576	Effevtive
CHIR-99021	Ineffective
CPI-637	Effevtive
CT7033-2	Effevtive
CZC24832	Effevtive
Camptothecin	Effevtive
Cediranib	Effevtive
Cisplatin	Effevtive
Crizotinib	Effevtive
Cyclophosphamide	Ineffective
Cytarabine	Effevtive
Dabrafenib	Effevtive
Dacarbazine	Ineffective
Dactinomycin	Effevtive
Dactolisib	Effevtive
Daporinad	Effevtive
Dasatinib	Effevtive
Dihydrorotenone	Effevtive
Dinaciclib	Effevtive
Docetaxel	Effevtive
Doramapimod	Effevtive
EHT-1864	Effevtive
EPZ004777	Ineffective
EPZ5676	Ineffective
ERK_2440	Effevtive
ERK_6604	Effevtive
Eg5_9814	Effevtive
Elephantin	Effevtive
Elesclomol	Effevtive
Entinostat	Effevtive
Entospletinib	Effevtive
Epirubicin	Effevtive
Erlotinib	Effevtive
Fludarabine	Effevtive
Foretinib	Effevtive
Fulvestrant	Effevtive
GDC0810	Effevtive
GNE-317	Effevtive
GSK-LSD1	Effevtive
GSK-LSD1-2HCl	Effevtive
GSK1904529A	Effevtive
GSK2110183B	Effevtive
GSK2256098C	Effevtive
GSK2276186C	Effevtive
GSK2578215A	Effevtive
GSK2606414	Effevtive
GSK269962A	Effevtive
GSK2801	Ineffective
GSK2830371	Effevtive
GSK2830371A	Ineffective
GSK3337463A	Effevtive
GSK343	Effevtive
GSK591	Effevtive
GSK626616AC	Effevtive
GW441756	Effevtive
Gallibiscoquinazole	Effevtive
Gefitinib	Effevtive
Gemcitabine	Effevtive
HKMTI-1-005	Effevtive
I-BET-762	Effevtive
I-BRD9	Effevtive
IAP_5620	Effevtive
ICL-SIRT078	Effevtive
IGF1R_3801	Effevtive
IOX2	Effevtive
IRAK4_4710	Ineffective
IWP-2	Effevtive
Ibrutinib	Effevtive
Ipatasertib	Effevtive
Irinotecan	Effevtive
JAK1_8709	Effevtive
JAK_8517	Effevtive
JNK Inhibitor VIII	Effevtive
JQ1	Effevtive
KRAS (G12C) Inhibitor-12	Effevtive
KU-55933	Effevtive
L-Oxonoreleagnine	Effevtive
LCL161	Effevtive
LGK974	Effevtive
LJI308	Effevtive
LMB_AB1	Ineffective
LMB_AB2	Ineffective
LMB_AB3	Effevtive
LMP744	Effevtive
LY2109761	Effevtive
Lapatinib	Effevtive
Leflunomide	Ineffective
Lenalidomide	Effevtive
Lestaurtinib	Effevtive
Linsitinib	Effevtive
Luminespib	Effevtive
MG-132	Effevtive
MIM1	Effevtive
MIRA-1	Effevtive
MK-1775	Effevtive
MK-2206	Effevtive
MK-8776	Effevtive
ML323	Effevtive
MN-64	Effevtive
Methotrexate	Effevtive
Mirin	Effevtive
Mitoxantrone	Effevtive
Motesanib	Ineffective
Mycophenolic acid	Effevtive
N-acetyl cysteine	Ineffective
N25720-51-A1	Effevtive
N27922-53-1	Ineffective
N29087-69-1	Ineffective
N30652-18-1	Effevtive
NU7441	Effevtive
NVP-ADW742	Effevtive
Navitoclax	Effevtive
Nelarabine	Ineffective
Nilotinib	Effevtive
Niraparib	Effevtive
Nutlin-3a (-)	Effevtive
OF-1	Effevtive
OSI-027	Effevtive
OTX015	Effevtive
Obatoclax Mesylate	Effevtive
Olaparib	Effevtive
Osimertinib	Effevtive
Oxaliplatin	Effevtive
P22077	Effevtive
PAK_5339	Effevtive
PBD-288	Effevtive
PCI-34051	Effevtive
PD0325901	Effevtive
PD173074	Effevtive
PF-4708671	Effevtive
PFI-1	Effevtive
PFI3	Ineffective
PLX-4720	Effevtive
POMHEX	Effevtive
PRIMA-1MET	Effevtive
PRT062607	Effevtive
Paclitaxel	Effevtive
Palbociclib	Effevtive
Pevonedistat	Effevtive
Picolinici-acid	Ineffective
Pictilisib	Effevtive
Piperlongumine	Effevtive
Podophyllotoxin bromide	Effevtive
Pyridostatin	Effevtive
RO-3306	Effevtive
RVX-208	Effevtive
Rapamycin	Effevtive
Refametinib	Effevtive
Remodelin	Effevtive
Ribociclib	Effevtive
Romidepsin	Effevtive
Rucaparib	Effevtive
Ruxolitinib	Effevtive
SB216763	Ineffective
SB505124	Effevtive
SB590885	Effevtive
SCH772984	Effevtive
SGC-CBP30	Effevtive
SGC0946	Effevtive
SL0101	Ineffective
SN-38	Effevtive
Sabutoclax	Effevtive
Sapitinib	Effevtive
Savolitinib	Effevtive
Schweinfurthin A	Effevtive
Selumetinib	Effevtive
Sepantronium bromide	Effevtive
Serdemetan	Effevtive
Sinularin	Effevtive
Sorafenib	Effevtive
Staurosporine	Effevtive
TAF1_5496	Effevtive
THR-101	Effevtive
THR-102	Ineffective
THR-103	Effevtive
TW 37	Effevtive
Talazoparib	Effevtive
Tamoxifen	Effevtive
Tanespimycin	Effevtive
Taselisib	Effevtive
Telomerase Inhibitor IX	Effevtive
Temozolomide	Ineffective
Temsirolimus	Effevtive
Teniposide	Effevtive
Topotecan	Effevtive
Tozasertib	Effevtive
Trametinib	Effevtive
Tretinoin	Effevtive
ULK1_4989	Effevtive
UMI-77	Effevtive
UNC0379	Effevtive
UNC0638	Effevtive
Ulixertinib	Effevtive
Uprosertib	Effevtive
VE-822	Effevtive
VE821	Effevtive
VSP34_8731	Effevtive
VTP-A	Effevtive
VTP-B	Effevtive
VX-11e	Effevtive
Veliparib	Effevtive
Venetoclax	Effevtive
Vinblastine	Effevtive
Vinorelbine	Effevtive
Vismodegib	Effevtive
Vorinostat	Effevtive
WEHI-539	Effevtive
WIKI4	Effevtive
WZ4003	Effevtive
Wee1 Inhibitor	Effevtive
Wnt-C59	Effevtive
XAV939	Effevtive
YK-4-279	Effevtive
ZM447439	Effevtive
Zoledronate	Effevtive
alpha-lipoic acid	Ineffective
ascorbate (vitamin C)	Ineffective
glutathione	Ineffective
